CODI_CAPA,CAPA_GENERICA,NOM_CAPA,ETRS89_COORD_X,ETRS89_COORD_Y,LONGITUD,LATITUD,EQUIPAMENT,DISTRICTE,BARRI,NOM_DISTRICTE,NOM_BARRI
K014,Transports i serveis relacionats,Autobusos diürns,428807.174,4586497.857,2.147973,41.426889,BUS -112-185-V17--,7.0,41.0,Horta-Guinardó,la Vall d'Hebron
K014,Transports i serveis relacionats,Autobusos diürns,428661.13,4585881.53,2.146298,41.421325,BUS -119--,7.0,38.0,Horta-Guinardó,la Teixonera
K014,Transports i serveis relacionats,Autobusos diürns,431191.845,4580694.708,2.177169,41.37483,BUS -D20-H14--,1.0,1.0,Ciutat Vella,el Raval
K014,Transports i serveis relacionats,Autobusos diürns,428575.522,4582605.366,2.14566,41.391811,BUS -V9--,2.0,8.0,Eixample,l'Antiga Esquerra de l'Eixample
K014,Transports i serveis relacionats,Autobusos diürns,429073.898,4587966.403,2.150992,41.44014,BUS -185--,7.0,43.0,Horta-Guinardó,Horta
K014,Transports i serveis relacionats,Autobusos diürns,429209.184,4578847.041,2.153677,41.358017,BUS -107--,3.0,11.0,Sants-Montjuïc,el Poble-sec
K014,Transports i serveis relacionats,Autobusos diürns,428110.582,4581476.919,2.140233,41.381606,BUS -115--,3.0,18.0,Sants-Montjuïc,Sants
K014,Transports i serveis relacionats,Autobusos diürns,434020.178,4585941.635,2.210416,41.422325,BUS -H12--,10.0,73.0,Sant Martí,la Verneda i la Pau
K015,Transports i serveis relacionats,Autobusos nocturns,433233.732,4584557.563,2.201158,41.409794,NITBUS -N8--,10.0,71.0,Sant Martí,Provençals del Poblenou
K015,Transports i serveis relacionats,Autobusos nocturns,433826.081,4587517.996,2.207921,41.436507,NITBUS -N8--,9.0,59.0,Sant Andreu,el Bon Pastor
K015,Transports i serveis relacionats,Autobusos nocturns,425084.717,4581879.386,2.103999,41.384955,NITBUS -N12--,4.0,21.0,Les Corts,Pedralbes
K014,Transports i serveis relacionats,Autobusos diürns,428967.829,4587643.317,2.14976,41.43722,BUS -27-60-76-H4-M19--,7.0,43.0,Horta-Guinardó,Horta
K014,Transports i serveis relacionats,Autobusos diürns,428173.265,4583498.791,2.140743,41.399822,BUS -V13--,5.0,26.0,Sarrià-Sant Gervasi,Sant Gervasi - Galvany
K014,Transports i serveis relacionats,Autobusos diürns,428849.995,4587470.715,2.14837,41.435655,BUS -27-60-76-H4-M19--,7.0,41.0,Horta-Guinardó,la Vall d'Hebron
K014,Transports i serveis relacionats,Autobusos diürns,426237.948,4581397.798,2.117849,41.380724,BUS -V1--,4.0,20.0,Les Corts,la Maternitat i Sant Ramon
K014,Transports i serveis relacionats,Autobusos diürns,429558.653,4584811.867,2.157162,41.411771,BUS -116--,6.0,30.0,Gràcia,la Salut
K014,Transports i serveis relacionats,Autobusos diürns,432057.319,4580067.243,2.187588,41.369252,BUS -V19--,1.0,3.0,Ciutat Vella,la Barceloneta
K014,Transports i serveis relacionats,Autobusos diürns,427876.639,4584647.886,2.137058,41.410145,BUS -V13--,5.0,25.0,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova
K014,Transports i serveis relacionats,Autobusos diürns,432115.575,4580992.439,2.188181,41.37759,BUS -V15-V19--,1.0,3.0,Ciutat Vella,la Barceloneta
K015,Transports i serveis relacionats,Autobusos nocturns,433570.378,4587414.084,2.204872,41.43555,NITBUS -N8--,9.0,59.0,Sant Andreu,el Bon Pastor
K014,Transports i serveis relacionats,Autobusos diürns,433262.053,4586279.333,2.201307,41.425304,BUS -33-B24-V31-136--,10.0,73.0,Sant Martí,la Verneda i la Pau
K014,Transports i serveis relacionats,Autobusos diürns,430613.691,4586386.277,2.169603,41.426043,BUS -V23--,7.0,36.0,Horta-Guinardó,la Font d'en Fargues
K014,Transports i serveis relacionats,Autobusos diürns,433417.766,4583681.865,2.203456,41.401922,BUS -B25-B20-136--,10.0,68.0,Sant Martí,el Poblenou
K015,Transports i serveis relacionats,Autobusos nocturns,425991.435,4575902.293,2.115572,41.331205,NITBUS -N1--,3.0,12.0,Sants-Montjuïc,la Marina del Prat Vermell
K015,Transports i serveis relacionats,Autobusos nocturns,429153.242,4586269.851,2.15214,41.424866,NITBUS -N4--,7.0,37.0,Horta-Guinardó,el Carmel
K015,Transports i serveis relacionats,Autobusos nocturns,428493.212,4584965.089,2.144397,41.413057,NITBUS -N5--,6.0,28.0,Gràcia,Vallcarca i els Penitents
K014,Transports i serveis relacionats,Autobusos diürns,428897.537,4585751.966,2.149142,41.420179,BUS -22-129-V19--,6.0,29.0,Gràcia,el Coll
K015,Transports i serveis relacionats,Autobusos nocturns,427593.334,4581740.983,2.134016,41.383938,NITBUS -N3--,4.0,19.0,Les Corts,les Corts
K015,Transports i serveis relacionats,Autobusos nocturns,426841.976,4580917.699,2.12513,41.376455,NITBUS -N14-N2-N28--,3.0,17.0,Sants-Montjuïc,Sants - Badal
K014,Transports i serveis relacionats,Autobusos diürns,427260.335,4581013.527,2.130121,41.377356,BUS -70--,3.0,18.0,Sants-Montjuïc,Sants
K015,Transports i serveis relacionats,Autobusos nocturns,431445.5,4585185.582,2.179693,41.4153,NITBUS -N1-N4--,7.0,35.0,Horta-Guinardó,el Guinardó
K014,Transports i serveis relacionats,Autobusos diürns,431593.069,4585686.586,2.181402,41.419825,BUS -191--,9.0,63.0,Sant Andreu,Navas
K014,Transports i serveis relacionats,Autobusos diürns,432844.077,4587560.681,2.196163,41.43681,BUS -11-H8-H4-M28--,9.0,59.0,Sant Andreu,el Bon Pastor
K015,Transports i serveis relacionats,Autobusos nocturns,430556.928,4590144.806,2.168492,41.459889,NITBUS -N3--,8.0,55.0,Nou Barris,Ciutat Meridiana
K014,Transports i serveis relacionats,Autobusos diürns,430593.565,4590107.037,2.168935,41.459552,BUS -62-76-183--,8.0,55.0,Nou Barris,Ciutat Meridiana
K014,Transports i serveis relacionats,Autobusos diürns,429285.554,4584885.808,2.153886,41.412413,BUS -116--,6.0,30.0,Gràcia,la Salut
K014,Transports i serveis relacionats,Autobusos diürns,426455.664,4581451.212,2.120446,41.381225,BUS -101--,4.0,20.0,Les Corts,la Maternitat i Sant Ramon
K014,Transports i serveis relacionats,Autobusos diürns,427506.496,4583994.178,2.132708,41.404224,BUS -V11--,5.0,25.0,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova
K014,Transports i serveis relacionats,Autobusos diürns,429396.119,4585724.438,2.155111,41.419976,BUS -22-V19--,7.0,37.0,Horta-Guinardó,el Carmel
K015,Transports i serveis relacionats,Autobusos nocturns,429396.119,4585724.438,2.155111,41.419976,NITBUS -N4-N5--,7.0,37.0,Horta-Guinardó,el Carmel
K014,Transports i serveis relacionats,Autobusos diürns,429055.402,4585759.966,2.15103,41.420265,BUS -22-87-V19--,7.0,37.0,Horta-Guinardó,el Carmel
K014,Transports i serveis relacionats,Autobusos diürns,431378.925,4581215.762,2.179347,41.379539,BUS -120--,1.0,2.0,Ciutat Vella,el Barri Gòtic
K015,Transports i serveis relacionats,Autobusos nocturns,433102.969,4584173.394,2.199636,41.406323,NITBUS -N7--,10.0,68.0,Sant Martí,el Poblenou
